游戏用户增长数据分析师-ONE Studio#25k-50k#[北京·海淀区]#经验3-5年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,免费三餐”#弹性工作
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
商业化营销资深数据分析师#10k-20k#[北京·朝阳区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#数字营销
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
资深数据分析师（深圳-推荐搜索流量ABT） (MJ010311)#25k-45k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“氛围年轻 发展前景广 平台空间大 机遇挑战多”#电商平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
商业化营销资深数据分析师#10k-20k#[北京·朝阳区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#数字营销
高级数据分析师-国际化音乐-上海#30k-60k#[上海·闵行区]#经验3-5年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
高级数据分析师（用户增长）#30k-40k#[北京·酒仙桥]#经验5-10年 / 本科#360#“核心团队”#MySQL
游戏数据分析师#20k-40k#[北京·海淀区]#经验3-5年 / 本科#边锋#“团队发展好”#回归算法
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级/资深数据分析师-上海（平台电商） (MJ011687)#25k-40k#[上海·城隍庙]#经验3-5年 / 本科#SHEIN#“行业前景广 发展空间大 氛围年轻 弹性工时”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
AI数据分析师#8k-12k#[无锡·新吴区]#经验在校/应届 / 硕士#NDIT长春#“绩效奖金,定期体检,周末双休”#暂无信息
数据分析师（财富业务）#20k-30k#[北京·望京]#经验3-5年 / 硕士#百融云创#“发展前景好”#科技金融
数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
大数据分析师#7k-12k#[南昌·青山湖区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
