岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
大功率模块硬件专家,研发族,全流程主持全新领域的项目开发工作（功率硬件及散热架构系统设计、架构演进、E2E热验证测试方案、基线建立、全流程场景测试方案等），并落实在组织/流程上确保新领域产品开发的高效开展，产品竞争力达到业界领先水平；公司热技术领域多项关键技术负责人，负责相关技术的规划和研究，有效支撑产品的开发及应用，构筑产品竞争力；参与DRB或热TMG活动，对重点产品热设计方案及技术决策发挥关键作用。 主要职责: 一【岗位职责】：主导大功率模块的硬件和散热架构创新，牵引产品侧持续创新 1、功率模块竞争力构建：负责大功率模块功率硬件和散热架构设计，结合不同应用场景、产品架构特点，设计有竞争力的解决方案，支撑产品竞争力持续领先； 2、技术洞察与规划：主导本领域技术洞察 ，把握大功率模块技术发展趋势，结合产品规划，定义散热技术三代规划，并协同根技术专家，提前做好技术预研； 3、平台能力建设：主导大功率模块功率硬件及散热方案交付流程、技术体系、技术规范建设，识别关键痛点，持续改进，同时围绕技术交付需求，建设有厚度的人才梯队； 4、产业链资源整合：面向新技术、新产品架构所需的关键部件，做好产业链资源整合，保障功率硬件和散热架构有序落地。 二【关键能力要求】： 功率模块硬件和散热架构设计能力：精通大功率模块功率硬件拓扑和散热设计的主要方法、主要发力点，具备扎实的电力电子、传热学基础知识，能够针对不同场景、不同形态产品定义差异化解决方案。 技术洞察能力：具备优秀的技术洞察能力，能够识别新技术应用的机会点，能够把握技术发展趋势与产品发展趋势，定义技术沙盘与技术能力构建方向。 跨领域协同能力：具备功率器件、功率硬件、工艺、结构等周边领域基础知识，具备良好的系统化思维，能够做好多领域协同创新。 三【关键经验要求】： 必选： 大功率模块硬件功率或散热解决方案交付：具备5年以上大功率模块或大功率半导体功率产品及散热解决方案交付经验；掌握业界解决大功率模块拓扑和散热的关键技术与发展趋势； 疑难问题攻关：具备攻克领域疑难问题经验，切实解决产品痛点问题。 新技术研究与迁移：具备新技术、新架构在产品迁移落地经验，能够持续产出技术养分。 优选： 关键功率器件散热设计经验：参与高热流、大功率半导体或磁器件散热设计。 多散热方案融合设计经验：参与风冷、液冷、自然散热、两相等多散热形式融合设计。 四【特质要求】：深耕技术、持续学习、勇于创新、执行力强。,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、技术规划：具备中压硬件拓扑&器件&绝缘材料的全景规划能力，具备中压硬件技术竞争力构建和架构属性（中压功率、布局、热、器件等）的竞争力规划能力。   2、架构设计和看护能力：具备中压硬件架构定义和看护能力，能结合园区中压供电的业务诉求、基础中压硬件的行业技术发展，对系统供电架构看护和演进，持续提升系统竞争力；   3、技术洞察能力：全产品视野，洞察产品趋势，能从产品关键技术、产业链配套技术、DFX、成就客户等多角度思考问题，整合产业先进技术，提升产品竞争力  能力要求:  知识要求: 能独立主导完成关键技术的价值分析，可行性分析，原型验证等工作； 具备连接学术资源，与高校教授开展技术项目合作的能力。  ,中国/东莞,数据中心能源及关键供电产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17838&dataSource=1
电源工程师,研发族,1、开发优秀的硬件电路系统设计方案，打造车载电源强大产品力； 2、通过器件、封装、电路、拓扑、工艺等创新技术，构建领先的系统技术竞争力； 3、研究各类电源拓扑，识别新技术与机会点，开拓MCU/DCDC硬件新天地；,1、学习能力强，良好逻辑思维能力和表达能力； 2、工作积极主动，有强烈责任心和严谨工作作风，具备沟通协作能力和团队合作精神； 具备以下条件之一均可： 1、有硬件产品研发经历、参与过产品项目/技术项目交付； 2、具备数字电路、模拟电路及常见电路等相关知识，了解DSP、ARM等主控芯片设计应用； 3、熟悉常用电子器件（MOSFET、IGBT、电容、电阻）设计选型，了解相关降额要求； 4、熟练应用电路设计、PCB layout及电路仿真软件； 5、对EMC和安规有一定的了解。,中国/东莞,智能电动开发一部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18500&dataSource=1
工商业MD逆变器硬件工程师,研发族,岗位职责 1、负责智能光伏工商业逆变器需求分析，系统设计与开发验证工作； 2、规划逆变器新标准、重要专利/核心技术、规范、新平台、新工具、新方法落地等构建产品核心竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/东莞,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18262&dataSource=1
系统软件工程师,研发族,岗位职责：负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）与系统解决方案的功率控制软件开发工作：  1、负责或参与光伏功率控制项目的开发交付工作，含功率拓扑控制、并网技术等；  2、负责或参与光伏算法及AI特性的开发、优化和落地，包括机器学习、CV、AutoML、轻量化等关键算法等；  3、负责或参与关键控制技术及应用的技术突破，通过系统设计、控制算法、仿真等创新技术点构建领先的技术竞争力，进行智能光伏功率控制领域的专利布局。,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/上海,智能光伏开发一部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18374&dataSource=1
户用解决方案工程师,研发族,岗位职责：负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作： 1、负责智能光伏产品或场景解决方案的设计、开发及开发工作，含系统架构设计，关键需求分解及接口定义，部件产品（含功率变换系统、电池管理系统、配电系统、温控系统、整机结构、监控系统、消防安全系统等）方案设计等具体工作，主导系统方案及关键技术问题攻关等；  2、 负责智能光伏产品或场景解决方案的竞争力构建，通过行业趋势、规划演进，潜在需求，产品竞争力等分析，从产品架构、系统方案、功率拓扑、控制策略等全方位构建竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/南京,智能光伏设计（模块）,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18358&dataSource=1
关键-电站光伏维护工程师,研发族,标准职责: 负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）的全流程硬件开发与全生命周期维护工作：  1、负责或参与功率变换器件、封装、电路、拓扑、工艺等设计开发等工作； 2、负责或参与功率硬件的设计开发与调测，安规\降额\容差等设计、功能调测、交叉替代料验证等 3、负责或参与整机级方案设计开发与调测，包含：热降额、雷击、EMC、Halt、振动、噪声、DFX等  4、负责或参与光伏功率变换技术的发展方向和突破点识别，通过器件/封装/电路/拓扑等创新技术构建领先的系统技术与全生命周期维护竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/上海,智能光伏维护开发部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18342&dataSource=1
小功率模组设计与应用工程师,研发族,岗位职责 1、负责智能光伏解决方案规划与小功率模组设计开发工作。  2、洞察ICT技术发展趋势，深刻理解识别客户价值需求，规划与构建产品核心竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/西安,智能光伏开发二部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18326&dataSource=1
一拖二优化器硬件工程师,研发族,岗位职责: 1、负责优化器产品需求分析，系统设计开发和验证等工作； 2、洞察新标准、重要专利/核心技术、规范、新平台、新工具、新方法落地等方面构建产品核心竞争力。  ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/东莞,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18310&dataSource=1
高级工程师A,研发族,岗位职责: 1、负责智能光伏核心产品需求分析、规格设计开发与验证工作；  2、洞察新标准、重要专利/核心技术、规范、新平台、新工具、新方法落地等构建产品竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；																		 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/上海,智能光伏技术开发（模块）,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18294&dataSource=1
关键-I&V算法工程师,研发族,标准职责:  负责智能光伏并离网算法特性或算法模块的需求分析，主导关键算法特性或算法模块的设计或优化，同时规划仿真平台开发和验证相关工作，构建算法核心竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/西安,数字能源智能光伏产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18278&dataSource=1
政企产品工程师（智能协作）,营销族,政企专项产品售前拓展工作的执行者，负责专项产品日常售前中的产品拓展、POC测试、渠道赋能、需求管理推动、货期提拉、流程跟踪等工作。 1、承担部门客户群的专项产品拓展，执行拓展策略，通过客户机会点挖掘、需求理解、方案设计和方案引导，参与项目运作，推动所负责业务的市场目标、产品订货/收入等经营指标的达成。 2、面向政企合作伙伴主动规划和开展业务使能，有效提升合作伙伴售前人员能力。 3、作为项目POC测试中的接口人，负责协调人员、申请物料，到货跟踪等必要的POC测试准备和协调工作，协助项目组达成测试目标。 4、跟进业务拓展过程中的流程性事务，包括项目立项、借货管理、要货预测、货期提拉等，确保售前拓展的有序开展、流程合规。, 教育背景及要求：本科及以上； 工作年限：三年及以上 能力要求： 能够准确理解客户的建网需求，独立完成产品域解决方案设计，跟踪线索和机会点，参与项目策略制定，达成项目成功； 能够理解客户的标书需求，完成解决方案设计； 能够从事日常的投标、客户交流、技术澄清、中基层的客户关系拓展等工作，参与项目运作。 ,中国/北京,行业总部国铁Marketing与解决方案销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18143&dataSource=1
硬件工程师,研发族,岗位职责：负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）的全流程硬件开发工作：  1、负责或参与功率变换器件、封装、电路、拓扑、工艺等设计开发等工作；  2、负责或参与功率硬件的设计开发与调测，安规\降额\容差等设计、功能调测、交叉替代料验证等  3、负责或参与整机级方案设计开发与调测，包含：热降额、雷击、EMC、Halt、振动、噪声、DFX等  4、负责或参与光伏功率变换技术的发展方向和突破点识别，通过器件/封装/电路/拓扑等创新技术构建领先的系统技术竞争力，进行逆变器功率变换技术领域的专利布局。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/深圳,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18230&dataSource=1
户用小三相逆变器技术开发硬件工程师,研发族,岗位职责：主导智能光伏户用小三相逆变器能源功率变换产品的开发工作，负责关键电路架构，器件设计等工作，同时解决开发过程中关键复杂技术难点解决并构建产品竞争力和专利布局。  ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/西安,智能光伏开发二部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18214&dataSource=1
电站光储系统硬件工程师,研发族,岗位职责： 负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）的全流程硬件开发交付工作：  1、负责或参与功率变换器件、封装、电路、拓扑、工艺等设计开发等工作；  2、负责或参与功率硬件的设计开发与调测，安规\降额\容差等设计、功能调测、交叉替代料验证等  3、负责或参与整机级方案设计开发与调测，包含：热降额、雷击、EMC、Halt、振动、噪声、DFX等  4、负责或参与光伏功率变换技术的发展方向和突破点识别，通过器件/封装/电路/拓扑等创新技术构建领先的系统技术竞争力，进行逆变器功率变换技术领域的专利布局。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/上海,智能光伏开发一部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18198&dataSource=1
电源工程师,研发族,岗位职责: 1、负责智能光伏产品总体方案设计、开发与标准规范编写等工作； 2、解决项目开发过程中关键技术问题以及产品生命周期中网上难题攻关等任务； 3、参与技术、平台、产品规划，构建产品竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/东莞,数字能源智能光伏产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18182&dataSource=1
高级工程师A,研发族,标准职责: 1、主导智能光伏主力产品（逆变器和优化器等）系统设计开发和全生命周期管理等工作； 2、负责智能光伏产品相关网上问题定位解决，并推动逆向改进和构建产品竞争力。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									,中国/东莞,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18166&dataSource=1
主任工程师,研发族,岗位职责:  负责智能光伏产品（如光伏逆变器、储能变流器、优化器等）的全流程硬件开发交付工作：  1、负责或参与功率变换器件、封装、电路、拓扑、工艺等设计开发等工作；  2、负责或参与功率硬件的设计开发与调测，安规\降额\容差等设计、功能调测、交叉替代料验证等  3、负责或参与整机级方案设计开发与调测，包含：热降额、雷击、EMC、Halt、振动、噪声、DFX等  4、负责或参与光伏功率变换技术的发展方向和突破点识别，通过器件/封装/电路/拓扑等创新技术构建领先的系统技术竞争力，进行逆变器功率变换技术领域的专利布局。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/深圳,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18150&dataSource=1
政企产品工程师（无线产品）,营销族,政企专项产品售前拓展工作的执行者，负责专项产品日常售前中的产品拓展、POC测试、渠道赋能、需求管理推动、货期提拉、流程跟踪等工作。 1、承担部门客户群的专项产品拓展，执行拓展策略，通过客户机会点挖掘、需求理解、方案设计和方案引导，参与项目运作，推动所负责业务的市场目标、产品订货/收入等经营指标的达成。 2、面向政企合作伙伴主动规划和开展业务使能，有效提升合作伙伴售前人员能力。 3、作为项目POC测试中的接口人，负责协调人员、申请物料，到货跟踪等必要的POC测试准备和协调工作，协助项目组达成测试目标。 4、跟进业务拓展过程中的流程性事务，包括项目立项、借货管理、要货预测、货期提拉等，确保售前拓展的有序开展、流程合规。,教育背景及要求：本科及以上； 工作年限：三年及以上 能力要求： 能够准确理解客户的建网需求，独立完成产品域解决方案设计，跟踪线索和机会点，参与项目策略制定，达成项目成功； 能够理解客户的标书需求，完成解决方案设计； 能够从事日常的投标、客户交流、技术澄清、中基层的客户关系拓展等工作，参与项目运作。,中国/北京,行业总部国铁Marketing与解决方案销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18138&dataSource=1
行业代表助理,销售族,1、协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2、协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3、协助行业代表开展项目运作，保证项目成功率； 4、支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 5、支撑行业代表和伙伴销售经理管理客户满意度。,教育背景要求: 本科及以上 技能要求: 有销售/渠道拓展成功技能；项目运营技能等 知识要求: 有一定的ICT知识优先,中国/厦门,福建政企厦门泛企业系统部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18111&dataSource=1
储能领域电网专家,营销族,1、洞察研究电化学储能参与电力辅助服务和现货市场的技术要求、电网仿真、收益模型； 2、牵引储能产品规划、构建完整产品与解决方案（尤其是配套EMS综合能源控制系统、电力交易平台）、储能解决方案价值验证与落地（光伏发电机等）、赋能及客户交流； 3、主导跨产品域解决方案设计，能将解决方案优势转为竞争优势，影响客户决策，实现重大机会点的落地，改善市场格局； 4、主导微电网、清洁能源基地、低碳综合能源系统建模仿真分析工作，撰写仿真实验分析报告并对实验结果进行分析和总结。,教育背景要求: 电气工程及其自动化；控制理论与控制工程；能源动力  知识要求: 1、具有电力专业、控制理论与控制工程相关专业背景； 2、精通省级电网调度、并网及辅助服务细则、电力交易等； 3、熟悉新能源，尤其是电化学储能等新型电力系统要素； 4、熟悉中调系统或电力交易系统的软硬件架构、电网仿真等； 5、从事过微网、源网荷储等相关研究者优先。   技能要求: 1、具有电网中调或省级电力交易中心从事市场规则制定、电力实时调度和交易相关工作经验5年以上； 2、具备教练式解决方案标准的沟通和引导能力。 3、英语能作为工作语言,中国/深圳,综合解决方案销售与MKT部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17793&dataSource=1
关键-I&V算法工程师,研发族,岗位职责: 负责智能光伏并离网算法特性或算法模块的需求分析，主导关键算法特性或算法模块的设计或开发，包括复杂算法子系统的仿真代码开发及验证或者产品算法开发相关的验证工作。 ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/西安,数字能源智能光伏产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18010&dataSource=1
电源工程师,研发族,岗位职责: 负责车载车载功率类产品的功率变换及其关键技术技术分析与设计，识别新技术与机会点，实现关键技术突破和技术Ready； 1、参与项目需求分析、概要设计、总体方案设计、开发与测试平台建设、规范编写等工作，看护车载电源产品功率软件的交付及质量； 2、主导制定车载功率变换技术及功率融合技术的发展路标，输出功率算法的技术规划，确保产品技术竞争力持续领先；熟悉拓扑分析、算法设计、智能特性及应用，构筑产品核心技术竞争力； 3、主导功率拓扑及软件算法领域的技术专利布局并输出核心专利；,技能要求: 1、有AC/DC、DC/AC、DC/DC、逆变器或MCU等电源相关产品开发设计及调试经验；具备分析和解决电源类问题的能力； 2、能够进行产品竞争和关键技术分析； 3、对车载电源类产品感兴趣，学习能力强，具有创造性思维，能够将全新想法转化为工程应用并解决实际问题，对研究工作充满热情，有团队合作精神，具备良好的沟通能力。 知识要求: 1、负责车载电源类产品的功率变换及其关键技术技术分析与设计，向客户交付交付竞争力业界领先的产品；识别新技术与机会点，实现关键技术突破和技术Ready； 2、参与项目需求分析、概要设计、总体方案设计、开发与测试平台建设、项目交付工作； 3、通过器件、封装、电路、拓扑、工艺等创新技术构建领先的系统技术竞争力。 ,中国/西安,智能电动开发四部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17995&dataSource=1
一拖二优化器硬件工程师,研发族,岗位职责: 1、负责光伏优化器等产品需求分析、需求分解分配、系统解决方案设计等工作； 2、负责智能光伏领域的户用硬件新标准、重要专利/核心技术、规范、新平台、新工具、新方法落地等方面竞争力的构建工作。  ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；									 									 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/东莞,智能光伏开发三部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17981&dataSource=1
站点能源智能系统专家,研发族,一【岗位职责】： 负责充电网络及站点能源智能特性架构规划，通过先进数据模型和智能特性规划和设计，实现可信可靠的数字化基础以及系统智能特性的看护和拓展，支撑业务目标达成。 1、构建充电网路及站点电源智能数字化竞争力：主导智能特性的架构规划，负责系统特性规划、先进数据模型、VPP等相关智能化的设计和看护。提升产品可交付性和数据可用性，打造业界最简单和最值得信赖的智能管理产品。 2、引领技术与产业方向：基于客户需求和竞争力分析，主导完成智能特性规划和演进方向，围绕业务诉求与竞争力构建通过对各类系统的场景和需求分析，识别面临的技术挑战，构筑智能特性和VPP管理的差异化竞争力，提供复杂网络管理简单化的应用体验，引领行业发展方向。 3、核心技术创新突破和落地：主导完成领域关键技术创新项目的突破，并在商业应用上实现成功落地； 二【关键能力要求】： 1、技术洞察力：洞察业界未来业务发展趋势和方向，通过对站点电源通信架构、数据模型、软件特性等前瞻性规划，确保整体架构的稳定性和可演进性。 2、抽象建模能力：面对三方电源，众多存量版本等复杂场景，合理进行取舍、抽象建模和标准化，满足多场景适配和极简交付的要求。 3、技术资源整合能力：熟悉周边领域业务专业知识，涉及网管、控制器、传感器三大领域的协同，通过数据模型、软件特性的合理划分，组织团队进行系统分析和工程实现，实现整体解决方案竞争力最佳。 4、可信系统工程能力：探索系统工程业务架构、信息架构和应用架构，探索适用于本领域的系统工程方法体系和系统工程作业平台 三【关键经验要求】： 1、成功的技术洞察和规划经验：具有电源业务演进和技术发展规划洞察经验、解决方案场景设计经验。 2、关键技术创新和突破成功经验：成功在站点能源领域核心技术上取得断代创新，形成相对其他友商不可悲逾越的知识产权壁垒。 3、市场客户界面成功经验：理解和把握客户需求/痛点，有成功影响客户高层技术决策的经验。 四【特质要求】：业务敏感、开放协作、创新思维、战略思维,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 深入理解充电网络或站点电源解决方案端到端开发过程，有丰富的开发实践经验，有良好的持续改进思维 能力要求:  知识要求: 具备软件开发的基本知识，流程及方法论 专业证书要求:  其他要求: ,中国/深圳,数据中心能源及关键供电产品部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=18078&dataSource=1
