岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
渠道销售专员,销售族, 1.在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2.基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3.参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4.基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成； ,语言要求: 简体中文 教育背景要求: 本科及以上 知识要求: 优先的经验：有渠道拓展/销售成功经验；项目运营经验等； ,中国/拉萨,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19140&dataSource=1
渠道销售专员,销售族,标准职责: 在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,语言要求: 简体中文 教育背景要求: 本科及以上  知识、技能要求: 有政企市场工作经验，有渠道拓展/销售成功经验；项目运营经验等；  其他要求: 敢于挑战，较强的执行力,中国/吉林,吉林政企合作伙伴发展与管理部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19095&dataSource=1
行业代表助理,销售族, 1.协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2.协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3.协助行业代表开展项目运作，保证项目成功率； 4.支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 5.支撑行业代表和伙伴销售经理管理客户满意度。 ,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 有一定的ICT知识优先 知识要求: 优先的经验：有销售/渠道拓展成功经验；项目运营经验等；,中国/绵阳,四川政企川北业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19145&dataSource=1
渠道销售专员,销售族, 1.负责区域内的分销金牌、分销精英渠道体系的布局、搭建。 2.联合区域内的分销金牌、分销精英落地市场推广动作。 3.能够快速掌握华为政企分销产品&方案，并能够对辖区内的分销金牌、分销精英人员定期举行培训赋能，帮助其提升整体销售和营销能力。 4.对辖区内分销金牌、分销精英进行日常管理、关系维护及维护市场秩序，指导渠道备货，提升渠道满意度。 5.对负责渠道的分销销售收入目标达成负责。 ,语言要求: 简体中文 教育背景要求: 本科及以上学历  技能要求: 1.有相关分销销售经验，熟悉分销运作模式，具备专项产品技术背景的优先； 2.有渠道开拓和管理经验，能够识别、确定潜在的分销合作伙伴，熟悉当地的渠道市场现状； 3.熟悉电商的产品运营，店铺运营，流量运营或营销运营，具备一定的数据分析能  知识要求: 具备伙伴洞察、拓展、维护等合作能力、营销活动执行能力； 有2年及以上分销销售成功经验优先，有相关友商网络、服务器、存储、安防产品销售经验； 勇于创新、有激情愿意接受挑战，能快速适应新环境和岗位角色 ,中国/拉萨,四川政企分销销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19150&dataSource=1
渠道销售专员,销售族, 1.对本区县渠道销售收入目标负责； 2.构建本区县的渠道沙盘，并维护和拓展本区县的核心渠道； 3.负责本区县渠道Pipeline管理，配合渠道进行营销活动执行； 4.收集、分析区域经销商信息，分析现有经销市场情况，输出市场分析报告； 5.负责本区县渠道满意度。 ,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。,中国/资阳,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19130&dataSource=1
渠道销售专员,销售族, 1.对本区县渠道销售收入目标负责； 2.构建本区县的渠道沙盘，并维护和拓展本区县的核心渠道； 3.负责本区县渠道Pipeline管理，配合渠道进行营销活动执行； 4.收集、分析区域经销商信息，分析现有经销市场情况，输出市场分析报告； 5.负责本区县渠道满意度。 ,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。,中国/成都,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19120&dataSource=1
行业代表助理,销售族,1、协助数字政府行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2、协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3、协助行业代表开展项目运作，保证项目成功率； 4、支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 5、支撑行业代表和伙伴销售经理管理客户满意度。,1、本科及以上学历； 2、有2年及以上销售成功经验优先、有一定的ICT知识优先。,中国/广州,广东政企数字政府系统部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15452&dataSource=1
渠道销售专员,销售族, 1.在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2.基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3.参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4.基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。,中国/资阳,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19091&dataSource=1
人力资源综合专员,人力资源族,支撑具体业务部门各项人力资源实务的执行落地，包括但不限于：1、人才供应、绩效管理、学习发展、人岗、激励等具体政策在业务部门的执行；2、支撑业务部门氛围建设，关注员工需求与体验，提升员工敬业度，激发个体、激发组织活力；3、支撑业务部门AT/CT运作（可选） ,知识： 1、熟练掌握所在领域人力资源基础知识和理念；  2、熟悉所负责领域的政策框架和流程。 技能： 1、应用本领域专业知识和工具； 2、熟悉业务的运作和管理，掌握公司业务基础知识。 能力： 1、沟通与影响力； 2、HR解决问题能力； 3、项目或流程运作能力。,中国/东莞,制造部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19080&dataSource=1
质量控制工程师,制造族,新产品导入质量方案验证及量产现场质量控制负责人，基于新产品导入制定的关键CTQ和QCP质量风险控制方案，组织验证及优化QCP。落实质量体系、质量IT、感知网络、QC检验方案等控制要求。主导产品/工厂质量问题处理及闭环。对新产品及过程特性验证及量产产品质量一致性负责。 1、基于产品早期质量策划，通过新产品试制导入验证，进行新产品CTQ，QCP验证，达成新产品上市质量目标； 2、根据生产系统质量验证需求，通过生产过程CTQ验证，生产系统与产品质量匹配验证等，进行过程能力和测量体系质量验收，如MSA/SPC/CPK/CMK等，达成过程稳定可控制目标； 3、根据产品特殊控制方工艺基线，主导质量追溯、法规、错混料、ESD等特殊控制方案验证及闭环管理，达成追溯，法规等基线要求； 4、基于量产产品EC/临技/PCN/小批量验证流程及过程工艺变更流程，主导产品及4M1E变更联动管理，优化量产QCP&关键CTQ，并动态刷产品检验&控制要求，达成文件与现场操作一致，且量产质量稳定目标； 5、根据公司质量体系要求，基于QA/QM质量保证方案，制定并实施各子领域/功能领域执行计划，达成质量体系保证要求； 6、基于质量问题处理流程，主导产品&工厂现场质量问题处理和闭环管理，达成质量问题处理规范性及及时性。 ,知识： 1、熟悉产品知识、产品工艺知识、新产品导入流程，质量问题处理及闭环，质量控制等。 技能： 1、质量管理体系2级及以上，熟悉ISO9001，TL9000，ISO13485，质量管理31要素等。 2、质量工程方法2级及以上，熟练应用FMEA/CTQ/QCP/DOE等。 能力：质量异常处理能力，质量控制与检验方案制定能力，高效沟通协作能力、工作推动能力、问题总结及思考能力。,中国/东莞,制造部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19070&dataSource=1
